location,lane,"prev. lane's label",lat,lng,"matching number in powerpoint"
0024a4dc00003356,slow,,45.205348,5.783643,1
0024a4dc00003356,fast,,45.205327,5.78369,1
0024a4dc00003356,onramp,,45.205385,5.78356,1
0024a4dc00003354,slow,,45.201891,5.78165,2
0024a4dc00003354,fast,,45.201881,5.781696,2
0024a4dc00003354,onramp,,45.2019,5.781605,2
0024a4dc0000343c,slow,,45.195015,5.781893,3
0024a4dc0000343c,fast,,45.19502,5.781947,3
0024a4dc0000343b,onramp,,45.188033,5.781614,4
0024a4dc0000343b,offramp,,45.189538,5.781835,4
0024a4dc0000343b,slow_entry,,45.189536,5.781912,4
0024a4dc0000343b,fast_entry,,45.189538,5.781956,4
0024a4dc0000343b,slow_exit,,45.188022,5.781756,4
0024a4dc0000343b,fast_exit,,45.188018,5.781806,4
0024a4dc00003445,onramp,,45.18249,5.778956,5
0024a4dc00003445,offramp,,45.183515,5.779847,5
0024a4dc00003445,slow_entry,slow,45.182446,5.779049,5
0024a4dc00003445,fast_entry,fast,45.182434,5.779082,5
0024a4dc00003445,slow_exit,slow_bis,45.1835,5.77989,5
0024a4dc00003445,fast_exit,fast_bis,45.183487,5.779938,5
0024a4dc00001b67,slow,,45.181012,5.777537,6
0024a4dc00001b67,fast,,45.180982,5.777604,6
0024a4dc00001b67,onramp,,45.18104,5.777474,6
0024a4dc00001b67,middle,,45.181001,5.777569,6
0024a4dc00003357,slow,,45.176403,5.769505,7
0024a4dc00003357,fast,,45.176375,5.769542,7
0024a4dc00000ddd,slow,,45.167742,5.759076,8
0024a4dc00000ddd,fast,,45.167727,5.759121,8
0024a4dc00000ddd,offramp,,45.167782,5.758982,8
0024a4dc00000ddd,queue,onramp,45.166233,5.75741,8
0024a4dc00003355,slow,,45.16385,5.755315,9
0024a4dc00003355,fast,,45.163826,5.755355,9
0024a4dc00003355,onramp,,45.163866,5.755275,9
0024a4dc00003355,slow_bis,slow_entry,45.162428,5.753762,9
0024a4dc00003355,fast_bis,fast_entry,45.162407,5.753808,10
0024a4dc000021d1,slow,,45.157527,5.748489,10
0024a4dc000021d1,fast,,45.15751,5.748524,10
0024a4dc000021d1,offramp,,45.157567,5.748415,10
0024a4dc000021d1,queue,onramp,45.156224,5.746456,10
0024a4dc0000343f,slow,,45.154415,5.744285,11
0024a4dc0000343f,fast,,45.154393,5.744317,11
0024a4dc0000343f,onramp,,45.154437,5.744254,11
0024a4dc00001b5c,slow,,45.151581,5.737079,12
0024a4dc00001b5c,fast,,45.151549,5.7371,12
0024a4dc00001b5c,offramp,,45.151638,5.737041,12
0024a4dc00001b5c,queue-right,onramp-right,45.150953,5.733072,12
0024a4dc00001b5c,queue-left,onramp-left,45.150985,5.733065,12
0024a4dc000025eb,slow,,45.150713,5.730067,13
0024a4dc000025eb,fast,,45.150681,5.730072,13
0024a4dc000025eb,onramp,,45.150762,5.730067,13
0024a4dc000025eb,slow_bis,,45.150862,5.726683,13
0024a4dc000025eb,fast_bis,,45.15083,5.72668,14
0024a4dc000025ea,slow,,45.151679,5.721838,14
0024a4dc000025ea,fast,,45.151649,5.721822,14
0024a4dc000025ea,offramp,,45.15171,5.721857,14
0024a4dc00001c99,queue,onramp,45.152829,5.717611,15
0024a4dc000013c6,slow,,45.153981,5.715648,16
0024a4dc000013c6,fast,,45.15397,5.7156,16
0024a4dc000013c6,onramp,,45.153985,5.715696,16
0024a4dc00003444,slow,,45.157273,5.712295,17
0024a4dc00003444,fast,,45.157303,5.712343,17
0024a4dc00003444,offramp,,45.157333,5.712402,17
0024a4dc000025ec,slow,,45.158759,5.707607,18
0024a4dc000025ec,fast,,45.158721,5.707607,18
0024a4dc000025ec,onramp,,45.158797,5.707607,18
0024a4dc0000343e,middle,,45.158677,5.703829,19
0024a4dc0000343e,right,,45.158759,5.703827,19
0024a4dc0000343e,left,,45.158638,5.703829,19
