location,lane,prev. lane's label,lat,lng,matching number in powerpoint
0024a4dc00003356,onramp,,45.205385,5.78356,1
0024a4dc00003354,onramp,,45.2019,5.781605,2
0024a4dc0000343b,offramp,,45.189538,5.781835,4
0024a4dc0000343b,onramp,,45.188033,5.781614,4
0024a4dc00003445,offramp,,45.183515,5.779847,5
0024a4dc00003445,onramp,,45.18249,5.778956,5
0024a4dc00001b67,onramp,,45.18104,5.777474,6
0024a4dc00000ddd,offramp,,45.167782,5.758982,8
0024a4dc00003355,onramp,,45.163866,5.755275,9
0024a4dc000021d1,offramp,,45.157567,5.748415,10
0024a4dc0000343f,onramp,,45.154437,5.744254,11
0024a4dc00001b5c,offramp,,45.151638,5.737041,12
0024a4dc000025eb,onramp,,45.150762,5.730067,13
0024a4dc000025ea,offramp,,45.15171,5.721857,14
0024a4dc000013c6,onramp,,45.153985,5.715696,16
0024a4dc00003444,offramp,,45.157333,5.712402,17
0024a4dc000025ec,onramp,,45.158797,5.707607,18
