location,lane,prev. lane's label,lat,lng,matching number in powerpoint
0024a4dc00003356,fast,,45.205327,5.78369,1
0024a4dc00003354,fast,,45.201881,5.781696,2
0024a4dc0000343c,fast,,45.19502,5.781947,3
0024a4dc00001b67,fast,,45.180982,5.777604,6
0024a4dc00003357,fast,,45.176375,5.769542,7
0024a4dc00000ddd,fast,,45.167727,5.759121,8
0024a4dc00003355,fast,,45.163826,5.755355,9
0024a4dc000021d1,fast,,45.15751,5.748524,10
0024a4dc0000343f,fast,,45.154393,5.744317,11
0024a4dc00001b5c,fast,,45.151549,5.7371,12
0024a4dc000025eb,fast,,45.150681,5.730072,13
0024a4dc000025ea,fast,,45.151649,5.721822,14
0024a4dc000013c6,fast,,45.15397,5.7156,16
0024a4dc00003444,fast,,45.157303,5.712343,17
0024a4dc000025ec,fast,,45.158721,5.707607,18
0024a4dc00003356,slow,,45.205348,5.783643,1
0024a4dc00003354,slow,,45.201891,5.78165,2
0024a4dc0000343c,slow,,45.195015,5.781893,3
0024a4dc00001b67,slow,,45.181012,5.777537,6
0024a4dc00003357,slow,,45.176403,5.769505,7
0024a4dc00000ddd,slow,,45.167742,5.759076,8
0024a4dc00003355,slow,,45.16385,5.755315,9
0024a4dc000021d1,slow,,45.157527,5.748489,10
0024a4dc0000343f,slow,,45.154415,5.744285,11
0024a4dc00001b5c,slow,,45.151581,5.737079,12
0024a4dc000025eb,slow,,45.150713,5.730067,13
0024a4dc000025ea,slow,,45.151679,5.721838,14
0024a4dc000013c6,slow,,45.153981,5.715648,16
0024a4dc00003444,slow,,45.157273,5.712295,17
0024a4dc000025ec,slow,,45.158759,5.707607,18
